State/System/Region,Requirement(MW) - Mar14,Availability(MW) - Mar14,Surplus / Deficit (MW) - Mar14,Surplus / Deficit (%) - Mar14,Requirement(MW) April13 -Mar14,Availability(MW) April13 -Mar14,Surplus / Deficit (MW) April13 -Mar14,Surplus / Deficit (%) April13 -Mar14
Chandigarh,199,199,0,0.0,345,345,0,0.0
Delhi,"3,604","3,444",-160,-4.4,"6,035","5,653",-382,-6.3
Haryana,"5,395","5,395",0,0.0,"8,114","8,114",0,0.0
Himachal Pradesh,"1,421","1,364",-57,-4.0,"1,561","1,392",-169,-10.8
Jammu & Kashmir,"2,450","1,933",-517,-21.1,"2,500","1,998",-502,-20.1
Punjab,"5,476","5,476",0,0.0,"10,089","8,733","-1,356",-13.4
Rajasthan,"9,354","9,198",-156,-1.7,"10,047","10,038",-9,-0.1
Uttar Pradesh,"11,436","11,211",-225,-2.0,"13,089","12,327",-762,-5.8
Uttarakhand,"1,714","1,714",0,0.0,"1,826","1,826",0,0.0
Northern Region,"38,813","35,829","-2,984",-7.7,"45,934","42,774","-3,160",-6.9
Chattisgarh,"3,324","3,289",-35,-1.1,"3,365","3,320",-45,-1.3
Gujarat,"11,778","11,774",-4,0.0,"12,201","12,201",0,0.0
Madhya Pradesh,"6,767","6,765",-2,0.0,"9,716","9,716",0,0.0
Maharashtra,"18,260","17,317",-943,-5.2,"19,276","17,621","-1,655",-8.6
Daman & Diu ,297,297,0,0.0,322,297,-25,-7.8
Dadar Nagar Haveli,646,646,0,0.0,661,661,0,0.0
Goa,479,465,-14,-2.9,529,529,0,0.0
Western Region,"40,375","39,768",-607,-1.5,"41,335","40,331","-1,004",-2.4
Andhra Pradesh,"13,744","13,162",-582,-4.2,"14,072","13,162",-910,-6.5
Karnataka,"9,894","9,168",-726,-7.3,"9,940","9,223",-717,-7.2
Kerala,"3,671","3,573",-98,-2.7,"3,671","3,573",-98,-2.7
Tamil Nadu,"13,522","12,355","-1,167",-8.6,"13,522","12,492","-1,030",-7.6
Pondicherry,334,333,-1,-0.3,351,333,-18,-5.1
Lakshadweep,8,8,0,0.0,9,9,0,0.0
Southern Region,"38,464","36,048","-2,416",-6.3,"39,015","36,048","-2,967",-7.6
Bihar,"2,335","2,115",-220,-9.4,"2,465","2,312",-153,-6.2
DVC,"2,451","2,441",-10,-0.4,"2,745","2,745",0,0.0
Jharkhand,"1,074","1,044",-30,-2.8,"1,111","1,069",-42,-3.8
Orissa,"3,702","3,672",-30,-0.8,"3,727","3,722",-5,-0.1
West Bengal ,"7,314","7,294",-20,-0.3,"7,325","7,294",-31,-0.4
Sikkim,85,85,0,0.0,90,90,0,0.0
Andaman- Nicobar,40,32,-8,-20.0,40,32,-8,-20.0
Eastern Region,"15,888","15,598",-290,-1.8,"15,888","15,598",-290,-1.8
Arunachal Pradesh,123,122,-1,-0.8,125,124,-1,-0.8
Assam,"1,218","1,164",-54,-4.4,"1,329","1,220",-109,-8.2
Manipur,134,133,-1,-0.7,134,133,-1,-0.7
Meghalaya,286,278,-8,-2.8,343,330,-13,-3.8
Mizoram,83,81,-2,-2.4,84,82,-2,-2.4
Nagaland,100,99,-1,-1.0,109,106,-3,-2.8
Tripura,245,245,0,0.0,254,250,-4,-1.6
North-Eastern Region,"2,110","1,995",-115,-5.5,"2,164","2,048",-116,-5.4
All India ,"1,35,650","1,29,238","-6,412",-4.7,"1,35,918","1,29,815","-6,103",-4.5
,,,,,,,,
